x x
0 0
0 0
184 0
64 0
17 0
16 0
0 0
66 0
240 0
36 0
1 0
0 0
192 0
1 0
1 0
255 0
0 0
254 0
0 0
1 0
252 0
128 0
20 0
73 0
18 0
1 0
6 0
70 0
70 0
108 0
113 0
101 0
102 0
9 0
83 0
101 0
114 0
119 0
104 0
99 0
101 0
48 0
49 0
118 0
124 0
66 0
203 0
254 0
255 0
255 0
255 0
254 0
255 0
254 0
255 0
255 0
255 0
254 0
254 0
254 0
255 0
255 0
254 0
255 0
255 0
254 0
254 0
254 0
254 0
255 0
255 0
254 0
255 0
255 0
254 0
255 0
254 0
254 0
255 0
254 0
255 0
255 0
255 0
254 0
255 0
254 0
254 0
255 0
254 0
254 0
254 0
255 0
254 0
254 0
254 0
255 0
255 0
254 0
254 0
254 0
255 0
254 0
254 0
255 0
255 0
254 0
254 0
255 0
255 0
254 0
255 0
254 0
255 0
255 0
254 0
254 0
255 0
254 0
255 0
254 0
255 0
254 0
255 0
254 0
254 0
254 0
254 0
255 0
254 0
255 0
254 0
254 0
254 0
254 0
254 0
254 0
254 0
254 0
255 0
255 0
255 0
254 0
254 0
254 0
254 0
255 0
255 0
255 0
255 0
255 0
255 0
255 0
254 0
255 0
255 0
254 0
255 0
255 0
255 0
254 0
255 0
255 0
255 0
255 0
255 0
255 0
254 0
254 0
255 0
254 0
254 0
255 0
255 0
254 0
254 0
255 0
255 0
255 0
255 0
255 0
254 0
255 0
254 0
254 0
255 0
254 0
255 0
254 0
255 0
254 0
218 0
77 0
211 0
227 0
10 0
37 0
59 0
168 0
255 0
89 0
102 0
210 0
140 0
146 0
165 0
30 0
71 0
64 0
1 0
16 0
0 0
1 0
177 0
13 0
0 0
1 0
193 0
0 0
0 0
1 0
1 0
240 0
1 0
43 0
177 0
5 0
178 0
254 0
255 0
255 0
255 0
255 0
255 0
254 0
254 0
255 0
254 0
255 0
254 0
254 0
254 0
254 0
254 0
255 0
255 0
255 0
255 0
254 0
255 0
254 0
254 0
254 0
254 0
255 0
255 0
255 0
255 0
254 0
255 0
255 0
255 0
254 0
254 0
254 0
255 0
255 0
255 0
254 0
255 0
255 0
255 0
254 0
254 0
255 0
255 0
254 0
255 0
255 0
254 0
255 0
255 0
254 0
254 0
255 0
255 0
254 0
255 0
254 0
255 0
254 0
254 0
255 0
254 0
254 0
255 0
254 0
255 0
254 0
255 0
254 0
254 0
254 0
254 0
254 0
255 0
254 0
254 0
255 0
254 0
254 0
254 0
254 0
254 0
254 0
255 0
255 0
255 0
255 0
254 0
254 0
255 0
254 0
254 0
255 0
255 0
255 0
255 0
255 0
254 0
255 0
255 0
255 0
254 0
255 0
254 0
254 0
255 0
254 0
255 0
255 0
255 0
255 0
254 0
254 0
255 0
255 0
254 0
254 0
254 0
255 0
254 0
254 0
254 0
255 0
255 0
255 0
254 0
255 0
254 0
255 0
254 0
255 0
255 0
254 0
254 0
255 0
255 0
254 0
255 0
255 0
254 0
254 0
254 0
254 0
254 0
254 0
255 0
254 0
255 0
254 0
255 0
254 0
254 0
255 0
254 0
255 0
255 0
255 0
255 0
255 0
254 0
254 0
254 0
254 0
253 0
41 0
100 0
114 0
157 0
0 0
9 0
147 0
187 0
179 0
51 0
202 0
143 0
165 0
194 0
148 0
70 0
81 0
0 0
16 0
1 0
2 0
176 0
29 0
1 0
0 0
193 0
0 0
0 0
225 0
1 0
240 0
1 0
27 0
224 0
1 0
240 0
0 0
128 0
225 0
0 0
240 0
6 0
10 0
5 0
100 0
111 0
102 0
1 0
65 0
50 0
175 0
250 0
254 0
254 0
254 0
255 0
255 0
254 0
255 0
255 0
255 0
255 0
254 0
254 0
254 0
254 0
255 0
255 0
255 0
254 0
255 0
254 0
254 0
255 0
255 0
255 0
254 0
255 0
255 0
255 0
254 0
255 0
255 0
254 0
254 0
254 0
255 0
254 0
255 0
255 0
254 0
254 0
255 0
255 0
254 0
254 0
255 0
254 0
255 0
255 0
254 0
254 0
254 0
255 0
254 0
255 0
254 0
255 0
254 0
255 0
